Height,Weight,Sex
166.3374417,102.142888,Male
173.2833883,69.57781786,Male
153.5540268,64.21426629,Female
155.867935,53.30410127,Female
143.9370543,60.91156342,Female
168.0598835,54.91874421,Male
135.2562538,61.76897564,Female
177.2286376,98.22128379,Male
168.4002617,68.27897993,Male
175.8196374,75.6878598,Male
147.2088207,71.91470902,Female
143.4101933,70.25466739,Female
184.0023346,101.0296023,Male
179.9941395,82.91463154,Male
150.581321,60.71624655,Female
143.9200482,64.63599154,Female
171.5613067,80.86742566,Male
171.0917634,72.24031272,Male
148.1625381,53.33421763,Female
145.2916488,50.31307691,Female
163.7915407,82.67117663,Female
160.3197594,57.52783949,Female
151.8196421,64.80884381,Female
162.6724833,77.96466705,Female
150.3120371,72.23105588,Female
147.9065279,61.23632646,Female
158.5757835,83.6079361,Female
161.7493883,69.49571825,Female
160.2908185,57.11077005,Female
158.2419175,85.56107232,Female
178.1444883,92.30898007,Male
158.1862747,77.11418056,Female
152.5895691,34.72666609,Female
131.1273977,73.83481125,Female
154.7959763,74.65321809,Male
183.0966467,64.05785271,Male
157.6740806,44.36280578,Female
172.7391841,74.73017956,Male
138.5758889,75.88078275,Female
177.9294904,77.66715604,Male
163.7204411,129.410122,Male
177.9092339,113.2503094,Male
142.8596964,58.79075666,Female
134.0932725,60.88158179,Female
139.3309187,50.94727899,Female
161.4693695,45.80117027,Female
159.9630217,75.37583014,Male
158.272415,48.97376511,Female
169.2229144,83.21845422,Male
170.9833661,57.26852227,Male
164.32512,72.10525226,Female
144.9223785,65.81607146,Female
161.3928705,51.19553074,Male
173.213002,85.73721509,Male
160.8713684,49.65055203,Female
162.7634606,54.91954846,Female
171.4205329,80.40997588,Male
171.4610256,68.63804817,Male
164.1230059,41.23383545,Male
168.096226,69.52353258,Male
153.2253068,58.07491316,Female
173.1229682,117.7668917,Male
199.2822511,55.75179928,Male
141.8573719,63.648645,Female
144.0775791,68.09782933,Female
165.0537385,90.72013328,Male
159.0205698,75.26937521,Male
165.4790635,86.54622202,Male
162.9186952,77.30707502,Male
157.9004943,46.14417081,Female
157.195575,76.05757143,Female
167.4720967,67.67081367,Male
148.9426665,61.95692679,Female
184.6660751,78.14266923,Male
173.7816213,54.46835757,Male
186.5994933,82.19080006,Male
180.5159267,70.42488418,Male
171.1632224,75.07517632,Female
153.5825326,57.01562953,Female
144.3927917,49.66584381,Female
172.5064953,81.79668789,Male
170.9672098,69.54446916,Male
164.8711385,75.46953342,Male
139.0659727,55.14056088,Female
171.0282427,74.7954068,Male
147.425025,68.47480543,Female
177.0294219,86.0358905,Male
130.7627735,83.81226142,Female
168.0056649,74.08027766,Male
163.7128594,74.58872409,Male
151.000864,85.80413054,Female
188.8522241,69.48378601,Male
176.6875383,86.28422599,Male
144.1749247,61.04539955,Female
190.2616152,97.10252458,Male
133.9827252,61.53940031,Female
177.2710736,75.99564021,Male
178.8946419,78.25158421,Male
141.6464472,61.13619954,Female
152.3723814,73.42231034,Male
178.1315966,48.33299534,Male
170.6105691,54.68173273,Male
182.5356395,70.87055723,Male
151.5163043,71.71782359,Female
171.3453199,59.74839156,Male
149.0946244,61.61322534,Female
154.1159173,82.4932717,Male
165.7679235,82.83127696,Male
145.7482346,43.99934018,Female
161.1245625,72.19438206,Female
156.0223093,57.7128837,Female
133.2099703,65.67113792,Female
130.8772036,48.49075755,Female
155.0903141,77.24891146,Female
149.1759067,93.23169166,Male
168.0308738,63.64062288,Female
172.6080901,55.18998258,Male
145.0821277,45.5832851,Female
