"","ID_2","ID_1","ID_0","duration","lati","long","Q1","Q2","gender","age","taking_freq","posting_freq","editing_app_freq","Heightinmeter","BMI","height","weight","num_taken","num_posted","SNS_1_Wechat","SNS_2_Weibo","SNS_3_Douyin","check_sns","SNS_4_XHS","SNS_5_QQ","ed1_cropping","ed2_brightness","ed3_exposure","ed4_filter","ed5_colortoblack","ed6_retouch","ed7_whiten","ed8_complexion","ed9_slimface","ed10_acne","ed11_bigeyes","ed12_auto","bd1_face","bd2_hair","bd3_upper","bd4_stomach","check_bd","bd5_lower","bd6_muscle","bd7_weight","bd8_height","bd9_overall","obj_1","obj_2","obj_3","obj_4","obj_5","obj_6","obj_7","check_obj","obj_8","obj_9","obj_10","obj_11","obj_12","obj_13","obj_14","obj_15","obj_16","obj_17","cosm_1","cosm_2","cosm_3","cosm_4","cosm_5","facesur_1","facesur_2","facesur_3","facesur_4","facesur_5","facesur_6","facesur_7","facesur_8","bsur_1","bsur_2","bsur_3","bsur_4","bsur_5","check_bsur","bsur_6","bsur_7","bsur_8","invst_1","invst_2","invst_3","invst_4","invst_5","invst_6","invst_7","invst_8","intlz_1","intlz_2","intlz_3","intlz_4","intlz_5","intlz_6","intlz_7","intlz_8","intlz_9","check_intlz","intlz_10","intlz_11","intlz_12","intlz_13","intlz_14","intlz_15","nar1","nar2","nar3","nar4","nar5","nar6","nar7","nar8","nar9","nar10","nar11","nar12","nar13","nar14","nar15","nar16","nar17","nar18","nar19","nar20","Q31"
"156",156,120,131,"597","31.568893432617188","120.28860473632813","3",NA,"1","2","5","6","5",1.58,40.0576830636116,158,"100","21","11","6","6","1","5","4","1","4","4","5","5","2","5","4","3","5","2","2","4","4","2","1","2","5","2","3","2","3","4","7","6","7","5","7","7","7","7","6","7","5","6","5","6","5","5","6","4","4","3","1","3","5","4","2","5","2","2","2","2","2","1","2","2","4","2","1","5","1","2","2","3","2","4","5","5","3","4","5","5","2","5","1","1","3","2","3","4","4","4","2","3","3","3","2","3","5","3","3","2","2","4","3","4","3","4","3","4","4","3","4","4","3","4","1839612"
"110",110,186,419,"647","28.233306884765625","117","3",NA,"1","3","3","2","4",1.5,40,150,"90","4","1","4","1","5","5","1","1","1","1","1","1","1","1","1","1","1","1","1","5","4","4","3","2","5","3","3","3","2","4","7","5","5","5","5","5","4","7","5","7","6","4","7","7","4","6","4","4","2","2","3","2","2","2","2","2","2","2","2","2","4","4","4","4","3","4","1","4","4","3","3","4","2","2","4","4","3","4","3","2","4","4","3","4","4","3","4","4","4","4","3","3","4","2","2","4","3","3","3","2","1","3","2","2","2","3","3","3","3","3","3","3","3","3","257890"
"42",42,116,89,"1072","22.583297729492188","113.08331298828125","3",NA,"1","3","5","5","4",1.5,36.8888888888889,150,"83","5","3","3","2","4","5","2","2","3","3","3","4","2","5","5","5","3","2","2","5","1","2","2","1","5","1","1","3","1","2","7","6","7","6","7","6","5","7","6","7","7","6","7","7","5","7","7","5","1","1","5","3","2","3","4","3","1","3","4","3","1","1","2","4","2","2","1","4","2","4","4","1","3","4","4","5","2","4","3","4","2","5","2","1","4","2","4","4","2","1","4","5","3","4","3","2","4","2","1","1","1","3","5","2","4","5","2","3","2","2","5","2","2","4","1838722"
"73",73,55,207,"830","22.533294677734375","114.13330078125","3",NA,"1","2","5","5","4",1.6,35.15625,160,"90","7","3","4","2","4","5","1","1","3","4","4","5","2","3","4","4","2","3","3","4","4","3","3","4","5","2","4","3","4","4","6","5","5","4","6","6","4","7","6","7","5","6","5","4","6","7","5","5","2","2","4","2","2","4","4","3","2","3","3","3","3","2","2","2","2","4","1","4","2","3","2","4","3","4","3","4","1","5","4","4","2","4","2","1","4","4","4","4","2","2","4","4","4","4","4","4","5","3","2","3","2","5","4","4","4","4","5","4","5","4","2","4","3","4","1733767"
"124",124,151,186,"2244","31.86419677734375","117.2864990234375","3",NA,"1","2","3","4","4",1.81,34.7974726046213,181,"114","4","2","5","4","6","5","3","2","4","5","3","5","2","5","5","5","4","5","5","3","4","4","3","3","5","5","2","4","4","4","7","7","6","4","6","4","4","7","5","6","6","5","6","6","4","7","5","7","4","4","3","3","4","3","3","3","3","3","3","3","3","3","3","3","3","4","1","4","3","3","3","4","4","3","4","4","3","2","2","3","3","4","3","2","3","4","3","4","3","3","3","1","3","3","4","3","4","4","3","4","3","4","4","4","4","3","4","4","4","3","3","3","3","3","1844890"
"1",1,78,167,"438","27.896392822265625","102.26339721679688","3",NA,"1","2","5","4","5",1.55,33.2986472424558,155,"80","8","2","4","4","6","5","1","4","5","5","5","5","5","5","5","1","1","1","1","5","4","1","5","5","5","5","5","5","1","5","7","7","7","7","7","7","6","7","6","6","6","6","6","6","6","6","6","6","5","5","1","5","5","5","5","5","1","5","5","5","1","1","5","1","1","5","1","5","1","1","5","1","1","1","5","5","5","1","1","5","1","5","1","1","5","5","5","4","1","1","5","1","5","5","5","5","5","5","3","3","5","5","5","3","5","3","5","5","3","3","5","3","3","3","1780941"
"79",79,192,106,"873","22.533294677734375","114.13330078125","3",NA,"1","3","4","6","4",1.55,33.2986472424558,155,"80","2","2","6","2","3","5","4","1","2","4","2","5","3","4","4","2","4","5","3","4","3","4","4","4","5","2","3","3","1","3","6","5","4","5","6","5","4","7","5","6","6","4","7","6","4","7","6","5","3","4","3","3","3","3","2","3","2","3","2","3","2","2","3","3","2","3","1","3","3","4","4","2","2","3","2","4","3","3","4","3","3","4","3","2","4","2","3","4","4","4","3","2","3","3","3","2","4","4","3","3","3","2","3","4","3","3","4","4","3","3","4","3","3","4","448976"
"195",195,124,299,"604","45.75","126.64999389648438","3",NA,"1","3","3","2","5",1.6,33.203125,160,"85","1","1","3","3","2","5","2","1","5","1","1","5","2","5","5","5","5","5","2","5","3","2","2","1","5","2","2","1","3","2","4","6","7","6","6","6","4","7","6","6","6","6","5","5","6","6","6","4","3","4","3","3","4","3","4","3","2","3","3","3","3","2","3","4","3","3","1","4","2","3","4","2","2","4","2","4","3","5","4","2","4","3","3","2","4","2","4","4","4","1","4","3","4","4","3","3","3","2","3","2","2","3","3","2","4","2","2","3","4","3","4","4","3","3","1842342"
"184",184,50,193,"459","38.912200927734375","121.60220336914063","3",NA,"1","2","2","2","2",1.57,30.4271978579253,157,"75","1","1","4","5","1","5","2","2","2","4","2","5","2","2","2","4","2","2","2","4","3","4","2","2","5","1","2","2","2","2","5","5","6","4","5","7","2","7","5","5","4","4","6","6","6","6","3","3","1","2","5","2","1","3","2","3","2","2","2","2","2","2","4","2","4","2","1","4","2","4","2","2","2","3","4","3","4","2","4","4","3","5","2","2","3","2","4","4","4","2","2","4","2","4","4","4","4","3","2","1","1","4","4","2","4","2","4","4","4","2","4","4","3","4","1731410"
"118",118,155,252,"534","39.142303466796875","117.172607421875","3",NA,"1","2","4","4","2",1.6,29.296875,160,"75","4","1","2","3","4","5","4","1","2","2","2","3","2","2","2","2","3","2","2","5","3","2","2","2","5","2","3","2","3","2","4","3","6","3","5","6","4","7","6","5","5","6","6","5","6","6","5","5","3","3","2","3","4","3","4","4","2","4","4","4","2","2","3","2","2","3","1","4","2","2","3","3","3","2","4","4","3","3","3","4","2","4","2","3","3","3","4","4","3","3","3","2","4","3","4","3","4","4","3","3","3","4","3","3","4","3","4","4","3","3","4","3","3","2","1844977"
"86",86,31,375,"445","39.072799682617188","114.87310791015625","3",NA,"1","2","6","8","4",1.59,27.6887781337764,159,"70","11","9","4","3","5","5","3","2","3","3","2","4","3","4","3","3","4","4","5","4","2","3","4","2","5","2","4","1","3","2","6","5","6","6","6","7","6","7","6","7","6","6","6","6","7","6","6","5","4","5","1","4","5","4","4","5","1","4","4","4","1","2","2","2","1","4","1","4","1","2","2","4","4","3","4","5","1","4","4","5","1","4","1","1","4","4","5","4","2","2","4","4","4","5","4","3","4","4","4","4","4","4","5","3","4","4","5","4","5","4","5","2","2","4","1635475"
"44",44,68,259,"510","28.178298950195313","113.1116943359375","3",NA,"1","2","4","2","5",1.6,27.34375,160,"70","2","2","6","1","1","5","1","1","5","5","5","5","5","5","5","5","5","5","5","5","1","1","1","1","5","1","1","1","1","1","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","5","5","1","5","5","5","5","5","1","5","5","5","1","1","1","1","1","5","1","5","1","1","1","5","5","5","5","5","1","5","5","5","1","5","1","1","5","5","5","4","1","1","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","1766238"
"85",85,32,356,"628","37.332504272460938","114.70138549804688","3",NA,"1","3","6","8","5",1.56,26.7094017094017,156,"65","9","4","4","3","5","5","3","2","3","3","3","4","3","5","4","2","4","2","4","5","2","3","2","1","5","2","3","1","2","2","6","6","7","5","6","5","6","7","5","6","6","5","5","6","6","6","6","6","4","5","2","5","5","4","4","5","2","4","4","5","2","2","4","2","2","4","1","4","2","2","2","4","4","4","5","4","2","4","4","4","1","4","2","2","4","4","4","4","1","2","4","4","4","4","4","4","4","5","4","4","4","4","4","2","5","4","4","4","5","4","4","2","2","4","1637105"
"179",179,194,88,"720","31.044906616210938","121.40121459960938","2","3","1","3","2","2","4",1.6,26.5625,160,"68","2","1","1","2","3","5","1","1","2","2","2","3","2","4","2","2","1","1","1","2","4","3","4","2","5","1","2","1","4","1","7","4","6","7","7","5","4","7","6","5","6","6","7","7","4","7","7","7","2","2","5","2","2","4","2","2","2","2","2","2","2","2","4","5","4","4","1","4","4","5","4","2","2","2","2","4","4","2","4","4","3","5","2","2","3","1","1","4","4","4","1","3","2","1","4","2","4","4","3","1","2","4","4","1","1","1","4","1","4","1","4","1","1","1","5"
"46",46,156,264,"689","28.178298950195313","113.1116943359375","3",NA,"1","2","3","5","2",1.59,26.5021162137574,159,"67","1","3","5","2","6","5","4","2","2","2","2","4","2","4","4","4","5","2","4","4","4","3","3","3","5","2","3","2","3","3","7","7","4","4","5","6","5","7","5","7","6","5","6","7","6","4","6","4","3","2","4","3","4","4","4","4","4","4","4","3","3","3","2","3","3","4","1","5","2","3","4","2","2","4","4","5","4","4","4","4","4","5","3","4","5","3","5","4","2","4","4","2","4","3","2","3","2","3","3","2","3","4","4","3","4","3","4","2","3","3","4","3","3","3","1844985"
"88",88,71,392,"872","25.846603393554688","114.93258666992188","3",NA,"1","3","4","3","4",1.63,26.346494034401,163,"70","3","1","5","1","4","5","1","1","2","3","2","5","1","5","5","5","5","5","5","5","4","2","2","1","5","2","2","1","5","2","7","4","5","4","7","7","2","7","7","4","7","3","5","6","6","6","6","1","2","1","5","2","4","4","4","5","2","4","2","4","2","2","4","4","2","4","1","4","2","2","2","4","4","3","5","5","2","5","4","4","1","4","2","1","4","4","4","4","1","2","4","2","4","4","3","4","4","4","3","4","4","4","4","3","3","4","4","3","2","4","4","2","2","3","1773089"
"149",149,147,137,"595","30.29400634765625","120.16189575195313","3",NA,"1","3","5","7","5",1.58,25.2363403300753,158,"63","5","3","6","5","6","5","3","1","4","2","2","4","2","4","4","2","4","3","2","5","3","2","1","1","5","2","4","1","4","3","7","7","4","5","7","7","4","7","4","7","5","4","5","5","4","7","4","4","1","1","5","2","4","2","2","4","2","2","2","2","2","1","3","3","2","1","1","4","2","3","2","4","2","2","2","5","2","4","5","4","2","4","2","2","5","2","5","4","2","1","5","3","5","4","1","3","4","2","3","1","1","3","3","2","1","2","2","2","2","3","4","3","2","4","1844838"
"165",165,161,306,"720","31.304092407226563","120.59539794921875","3",NA,"1","2","4","2","5",1.48,25.109569028488,148,"55","6","1","2","2","5","5","6","6","2","4","2","5","1","5","5","5","3","3","4","5","4","4","2","2","5","2","3","2","1","3","7","4","5","4","6","7","4","7","6","5","5","4","4","6","5","5","7","4","4","5","3","3","4","4","4","3","2","2","4","4","3","2","4","4","4","2","1","4","2","4","2","4","4","4","5","5","1","5","4","5","2","5","1","1","2","2","5","4","4","1","5","5","4","4","3","3","5","4","3","2","4","4","3","3","2","3","4","3","4","3","5","3","3","4","1845039"
"141",141,19,237,"1568","30.29400634765625","120.16189575195313","3",NA,"1","3","3","2","2",1.6,24.609375,160,"63","2","1","4","2","1","5","4","2","4","4","4","4","2","4","4","4","2","3","2","2","3","4","3","2","5","2","2","2","2","2","7","5","4","4","6","6","3","7","4","6","3","4","4","4","6","4","4","4","1","1","1","1","1","3","3","3","3","3","3","3","3","3","4","4","3","3","1","4","3","4","2","4","3","2","3","4","3","3","4","4","2","4","2","2","3","2","2","4","2","2","2","2","3","3","2","4","3","3","3","2","2","4","2","2","2","2","3","2","2","3","2","3","2","3","1480130"
"100",100,130,245,"551","39.928802490234375","116.38888549804688","3",NA,"1","2","5","8","4",1.63,24.4646016033724,163,"65","11","10","5","5","5","5","5","5","3","3","2","4","2","4","4","4","4","4","4","4","5","5","5","5","5","5","5","5","5","5","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","1","1","1","1","1","5","5","5","1","5","5","5","1","1","5","2","1","5","1","1","1","1","1","5","1","5","5","5","1","5","5","5","5","5","1","1","5","5","5","4","1","1","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","2","5","5","5","1843701"
"26",26,146,140,"937","26.583297729492188","106.71670532226563","3",NA,"1","3","2","2","3",1.52,24.4546398891967,152,"56.5","1","1","6","3","2","5","6","1","3","2","2","2","2","4","3","3","3","2","2","4","3","4","3","3","5","2","2","2","3","2","7","6","6","4","5","6","4","7","5","5","5","5","4","4","5","4","4","5","1","1","1","1","1","3","3","3","2","3","3","3","2","2","4","4","3","3","1","3","2","4","2","4","4","4","4","4","3","4","3","3","2","3","2","2","4","2","4","4","3","1","4","4","4","4","4","4","4","4","4","3","4","5","4","4","4","4","4","4","5","4","2","3","3","4","1844837"
"152",152,137,93,"1150","31.905105590820313","120.26849365234375","3",NA,"1","3","2","2","4",1.57,23.5303663434622,157,"58","1","1","5","6","1","5","6","1","3","4","4","5","2","5","5","5","3","3","1","5","4","3","2","3","5","2","4","2","3","4","7","5","4","4","6","5","5","7","4","7","5","4","5","6","5","5","6","4","1","1","4","3","2","4","2","4","2","2","2","2","4","2","2","2","3","3","1","4","3","4","4","2","1","2","2","2","2","4","4","4","3","5","4","1","2","2","1","4","4","4","2","2","3","4","2","3","4","4","3","2","2","2","2","4","2","2","2","1","2","3","2","3","2","4","1844560"
"17",17,2,63,"450","29.556900024414063","106.5531005859375","3",NA,"1","3","5","7","4",1.6,23.4375,160,"60","17","5","4","3","1","5","2","1","3","4","4","4","2","5","5","5","4","3","4","3","3","4","4","4","5","2","1","2","4","4","7","7","4","6","6","5","4","7","5","7","7","2","3","6","5","6","5","1","5","5","1","5","5","2","2","1","4","5","5","5","1","1","2","2","2","5","1","5","1","2","2","5","4","5","5","5","1","5","5","5","1","5","2","1","4","4","4","4","1","2","4","1","4","4","4","4","5","5","4","5","5","4","2","2","4","5","5","4","5","4","4","5","4","5","1015573"
"18",18,3,70,"1243","29.556900024414063","106.5531005859375","3",NA,"1","3","5","7","5",1.6,23.4375,160,"60","21","5","4","3","4","5","4","1","3","4","4","4","2","5","5","4","5","2","4","3","4","4","4","2","5","2","2","2","2","2","6","7","3","7","7","5","5","7","6","5","7","6","5","7","6","6","5","2","5","5","1","5","5","2","4","1","5","4","5","5","1","1","2","2","1","5","1","5","1","2","1","5","4","5","5","5","1","5","5","5","1","4","1","1","4","4","4","4","1","1","5","4","5","4","5","4","5","5","4","5","5","5","5","4","5","5","5","4","5","4","4","4","4","5","1015573"
"109",109,89,192,"588","32.62640380859375","116.99688720703125","3",NA,"1","2","4","7","4",1.6,23.4375,160,"60","2","3","5","5","6","5","2","4","2","3","2","5","2","4","4","4","4","3","2","4","1","3","2","2","5","2","2","1","2","2","7","6","4","4","6","5","4","7","5","6","7","6","7","7","6","7","7","5","1","5","4","3","3","4","4","4","2","4","4","4","2","2","4","3","2","3","1","4","2","4","2","4","2","4","4","4","2","3","2","2","3","4","4","4","4","2","4","4","4","2","4","4","4","4","4","4","3","2","3","2","2","4","4","2","4","2","2","4","4","2","4","2","2","2","1801718"
"154",154,94,225,"371","31.568893432617188","120.28860473632813","3",NA,"1","3","4","7","3",1.6,23.4375,160,"60","5","3","3","5","1","5","1","1","1","3","3","4","2","4","4","4","4","4","4","4","4","4","3","2","5","2","3","2","4","4","7","6","6","6","7","7","6","7","7","6","6","6","6","7","7","7","7","5","1","1","5","1","1","3","3","2","4","4","4","4","2","2","4","4","2","3","1","4","4","5","4","3","2","4","3","4","4","3","4","4","2","4","2","2","4","3","2","4","4","3","2","2","2","2","2","4","4","4","4","2","3","4","4","3","4","4","4","4","3","4","4","4","4","3","1810138"
"87",87,93,295,"840","39.072799682617188","114.87310791015625","3",NA,"1","2","6","7","4",1.63,23.3354661447552,163,"62","20","6","5","3","6","5","3","4","2","4","4","5","3","5","5","5","5","5","5","5","3","4","2","2","5","2","3","2","4","2","7","7","7","7","7","7","6","7","7","7","7","7","5","6","6","7","7","6","3","2","3","4","5","4","4","4","2","2","2","2","2","2","2","2","2","2","1","4","2","2","2","4","2","4","4","4","2","4","4","4","2","4","2","2","4","2","4","4","4","3","4","2","4","4","4","3","4","4","2","4","4","4","2","2","2","3","4","3","4","2","4","2","2","2","1809895"
"187",187,12,143,"397","41.12359619140625","122.989990234375","3",NA,"1","3","6","7","5",1.63,23.3354661447552,163,"62","26","15","5","5","4","5","2","2","2","3","4","4","3","5","5","4","4","2","5","4","4","4","5","4","5","4","3","4","4","4","6","7","5","7","7","6","6","7","5","6","6","5","7","7","5","7","7","5","4","4","2","4","4","4","4","4","2","4","4","4","2","2","2","2","2","4","1","4","2","2","4","2","2","4","4","4","2","4","4","5","1","4","2","2","5","4","4","4","2","2","4","4","4","4","4","4","5","4","4","4","4","4","4","4","5","5","5","4","4","4","3","4","4","4","1321053"
"106",106,30,194,"1985","39.50970458984375","116.6947021484375","3",NA,"1","3","6","7","4",1.62,23.2434080170706,162,"61","16","4","6","3","2","5","3","1","2","3","4","4","2","4","4","4","3","5","4","4","4","5","4","4","5","2","2","4","2","4","7","6","4","6","7","6","7","7","5","6","6","5","6","7","5","6","7","3","1","2","4","2","3","2","4","2","3","4","4","2","2","2","2","2","1","4","1","4","2","2","4","2","1","3","4","4","2","5","4","5","2","5","2","1","4","5","4","4","2","4","4","2","4","2","2","3","4","4","3","2","2","2","1","4","1","4","5","2","4","4","3","4","2","2","1632191"
"66",66,117,152,"1625","34.772506713867188","113.72659301757813","3",NA,"1","2","4","6","5",1.58,23.2334561768947,158,"58","3","3","3","4","1","5","1","3","5","5","5","5","5","5","5","5","5","5","5","5","2","4","4","1","5","5","2","2","4","4","7","7","2","7","7","7","7","7","4","6","6","1","7","7","1","7","7","4","4","4","1","5","5","5","5","5","1","5","5","1","1","2","4","4","1","4","1","4","2","2","2","4","4","4","4","5","2","5","3","2","1","5","1","1","4","4","5","4","1","2","4","4","5","5","4","5","5","5","3","4","5","5","5","5","5","5","5","5","4","4","5","5","5","5","1838983"
"138",138,72,179,"774","32.397201538085938","119.435791015625","3",NA,"1","3","4","4","4",1.645,22.9118356260567,164.5,"62","20","1","6","3","1","5","4","1","4","5","5","5","2","5","5","5","2","3","2","4","2","3","2","2","5","2","2","2","3","2","7","7","4","7","7","7","5","7","4","7","7","4","7","7","6","7","7","5","1","1","5","1","1","4","5","5","2","4","4","4","2","2","2","2","2","5","1","5","2","2","2","5","4","3","5","5","2","4","3","4","1","4","1","1","5","4","5","4","1","1","5","3","4","4","4","4","4","5","3","4","4","4","4","3","4","4","5","5","4","3","4","4","3","4","1773263"
"143",143,66,309,"1014","30.29400634765625","120.16189575195313","3",NA,"1","3","5","7","4",1.55,22.8928199791883,155,"55","17","6","4","3","5","5","3","2","4","5","5","5","3","4","5","5","4","5","5","5","4","4","2","2","5","2","2","1","1","2","7","5","4","5","6","6","5","7","4","6","6","4","6","7","4","6","7","4","4","5","1","4","5","5","4","5","1","4","4","5","1","1","2","2","1","4","1","4","2","2","2","4","4","5","4","5","2","4","4","5","1","5","2","1","5","4","5","4","2","1","4","4","5","4","1","2","3","4","2","4","2","5","2","2","2","4","4","2","4","2","5","2","2","2","1753684"
